Soil Type,ID,Horizont,Top,Bottom,pH (H2O),pH (KCl),Y1,T-S,S,T,V,Humus,N,C/N,P2O5,K2O,As,Co
Vertisol,57,Avt,0,36,5.4,4.4,25.27,16.43,32.04,48.47,66.11,7.04,0.27,15.12,1.99,60.85,64.2,18
Vertisol,57,AvtC,36,50,6.8,5.7,5.15,3.35,40.04,43.39,92.28,2.77,,,2.32,14.89,174,23.2
Vertisol,59,Avt,0,21,6.1,4.7,12.7,8.26,35.24,43.5,81.02,5.42,0.25,12.57,0.15,12.17,9.9,18.4
Vertisol,59,Avt,21,31,5.9,4.75,16,10.4,36.84,47.24,77.98,3.72,,,0.28,13.33,48,18
Vertisol,59,AvtC,31,59,6.3,4.7,10,6.5,36.04,42.54,84.72,1.97,,,0,12.44,7.2,18.7
Vertisol,59,C,59,70,6.35,4.6,9.25,6.01,38.04,44.05,86.35,1.37,,,0.06,13.33,6.9,18
Vertisol,60,Avt,0,21,6.3,5.3,8.55,5.56,32.84,38.4,85.53,6.3,0.21,17.4,2.85,12.56,54.6,26
Vertisol,60,AC,21,39,6.7,5.5,6.35,4.13,29.24,33.37,87.63,2.85,,,6.95,12.94,13.8,13.8
Vertisol,61,Avt,10,60,6.2,4.9,12.4,8.06,36.44,44.5,81.89,4.42,0.18,14.24,0.95,11.02,29.5,16.6
Vertisol,61,AvtC,60,100,6.4,4.8,9.6,6.24,35.24,41.48,84.96,2.93,,,0.49,11.02,3.9,13.4
Vertisol,160,Avt,0,25,5.8,4.65,13.9,9.04,32.04,41.08,78,6.75,0.26,15.05,15.86,189.85,5.5,13.1
Vertisol,160,AvtC,25,35,5.9,4.5,9,5.4,34.82,43.15,80.69,2.93,,,11.18,110.15,5.7,13.8
Vertisol,161,Avt,0,55,5.7,4.4,10.73,6.97,23.64,30.61,77.22,3.49,0.11,18.4,0,23.25,11.2,21.7
Vertisol,161,AvtC,55,80,5.9,4.4,8.85,5.76,29.64,35.4,83.74,1.37,,,0,24.98,11.9,20.4
Vertisol,162,Avt,0,30,6.1,5,9.6,6.24,32.44,38.68,83.87,4.04,0.23,10.18,1.09,60.28,7.1,17.6
Vertisol,163,Avt,0,32,5.6,4.25,14.85,9.65,32.84,42.49,77.28,2.98,0.14,12.34,0.08,17.46,5.2,16.6
Vertisol,163,AvtC,32,42,5.8,4.35,13.5,8.78,33.5,40.15,83.44,,,,0.1,23.14,7.2,16.3
